Symbol;Entrez;Genetype
FRRS1;391059;protein-coding
PHKG2;5261;protein-coding
MFSD14A;64645;protein-coding
SASS6;163786;protein-coding
MALSU1;115416;protein-coding
VPS8;23355;protein-coding
GALK2;2585;protein-coding
B3GNT7;93010;protein-coding
MPV17L;255027;protein-coding
BUB1B;701;protein-coding
PDE6D;5147;protein-coding
EIF4A2;1974;protein-coding
BRPF1;7862;protein-coding
RPUSD3;285367;protein-coding
TATDN2;9797;protein-coding
SEC13;6396;protein-coding
EXOG;9941;protein-coding
NTAN1;123803;protein-coding
NMNAT2;23057;protein-coding
ZFYVE9;9372;protein-coding
SLC6A1;6529;protein-coding
SMG1;23049;protein-coding
FCHO2;115548;protein-coding
RBPMS;11030;protein-coding
TMEM171;134285;protein-coding
TIMP4;7079;protein-coding
SYN2;6854;protein-coding
NRG1;3084;protein-coding
ODR4;54953;protein-coding
CPT2;1376;protein-coding
NECAP2;55707;protein-coding
LRP8;7804;protein-coding
PAXIP1;22976;protein-coding
STEAP2;261729;protein-coding
SSBP3;23648;protein-coding
CLDN12;9069;protein-coding
MMP14;4323;protein-coding
FZD1;8321;protein-coding
GATAD1;57798;protein-coding
SUSD3;203328;protein-coding
CLEC18A;348174;protein-coding
DHRS4;10901;protein-coding
DDX19B;11269;protein-coding
ST3GAL2;6483;protein-coding
FCSK;197258;protein-coding
DHRS1;115817;protein-coding
KIT;3815;protein-coding
HYDIN;54768;protein-coding
AASDH;132949;protein-coding
ZNF19;7567;protein-coding
CACNA2D3;55799;protein-coding
RNF111;54778;protein-coding
CCNB2;9133;protein-coding
FAM81A;145773;protein-coding
MYO1E;4643;protein-coding
APPL1;26060;protein-coding
PWWP3B;139221;protein-coding
AFAP1L1;134265;protein-coding
TSC22D3;1831;protein-coding
VPS26C;10311;protein-coding
DYRK1A;1859;protein-coding
KCNJ6;3763;protein-coding
KCNJ15;3772;protein-coding
ETS2;2114;protein-coding
LCA5L;150082;protein-coding
SLC35B2;347734;protein-coding
TMEM164;84187;protein-coding
MX1;4599;protein-coding
CREB3L1;90993;protein-coding
C2CD2;25966;protein-coding
TAB3;257397;protein-coding
SLC38A10;124565;protein-coding
C9orf43;257169;protein-coding
PALM2AKAP2;445815;protein-coding
TMEM268;203197;protein-coding
SVOPL;136306;protein-coding
SNX22;79856;protein-coding
UBN2;254048;protein-coding
BRAF;673;protein-coding
SLC34A2;10568;protein-coding
ACAN;176;protein-coding
PSMG3;84262;protein-coding
WDR19;57728;protein-coding
SLC37A3;84255;protein-coding
AP3S2;10239;protein-coding
FMNL2;114793;protein-coding
GAREM2;150946;protein-coding
SPPL3;121665;protein-coding
DPYSL5;56896;protein-coding
DRC1;92749;protein-coding
RAB28;9364;protein-coding
PRXL2B;127281;protein-coding
TNFRSF14;8764;protein-coding
PANK4;55229;protein-coding
C12orf43;64897;protein-coding
PEX10;5192;protein-coding
RER1;11079;protein-coding
RADIL;55698;protein-coding
SKI;6497;protein-coding
WIPI2;26100;protein-coding
LDLRAP1;26119;protein-coding
AGAP1;116987;protein-coding
KRTCAP3;200634;protein-coding
PAFAH2;5051;protein-coding
EXTL1;2134;protein-coding
SLC30A2;7780;protein-coding
BABAM2;9577;protein-coding
TRIM63;84676;protein-coding
CFAP251;144406;protein-coding
MRPL17;63875;protein-coding
GRHL3;57822;protein-coding
UBXN11;91544;protein-coding
PTPDC1;138639;protein-coding
NCK1;4690;protein-coding
HPD;3242;protein-coding
RHPN1;114822;protein-coding
TPRG1L;127262;protein-coding
PRXL2C;195827;protein-coding
XDH;7498;protein-coding
XKR8;55113;protein-coding
CNNM4;26504;protein-coding
EYA3;2140;protein-coding
DZIP1L;199221;protein-coding
FANCC;2176;protein-coding
MRAS;22808;protein-coding
WASF2;10163;protein-coding
ABHD3;171586;protein-coding
ESYT3;83850;protein-coding
FAIM;55179;protein-coding
TENT5B;115572;protein-coding
CLSTN2;64084;protein-coding
COLEC12;81035;protein-coding
RNF207;388591;protein-coding
CUL4B;8450;protein-coding
GPR153;387509;protein-coding
SLC13A3;64849;protein-coding
GPRASP2;114928;protein-coding
SHROOM4;57477;protein-coding
H2BC5;3017;protein-coding
CDC25C;995;protein-coding
H4C8;8365;protein-coding
MITD1;129531;protein-coding
EIF5B;9669;protein-coding
RIBC1;158787;protein-coding
TMSB15B;286527;protein-coding
CNOT11;55571;protein-coding
TSPAN33;340348;protein-coding
AHCYL2;23382;protein-coding
B4GALT5;9334;protein-coding
SPATA2;9825;protein-coding
DNAH3;55567;protein-coding
NCF1;653361;protein-coding
TSR2;90121;protein-coding
PPP1R9A;55607;protein-coding
ZC3H18;124245;protein-coding
ZFAND2B;130617;protein-coding
POM121L2;94026;protein-coding
GDPD5;81544;protein-coding
DYNC1I1;1780;protein-coding
PFKFB1;5207;protein-coding
TMED4;222068;protein-coding
PPP1R15B;84919;protein-coding
COPG2;26958;protein-coding
EMSY;56946;protein-coding
PAGE5;90737;protein-coding
GPAT4;137964;protein-coding
PKD1L1;168507;protein-coding
ZSCAN12;9753;protein-coding
TAGLN2;8407;protein-coding
ELK4;2005;protein-coding
SLC45A3;85414;protein-coding
DUSP23;54935;protein-coding
RNF166;115992;protein-coding
NBL1;4681;protein-coding
F11R;50848;protein-coding
USF1;7391;protein-coding
PLA2G2F;64600;protein-coding
SPATA2L;124044;protein-coding
NIT1;4817;protein-coding
DEDD;9191;protein-coding
ZNF276;92822;protein-coding
NPM2;10361;protein-coding
EDA;1896;protein-coding
CDA;978;protein-coding
PINK1;65018;protein-coding
B4GALT3;8703;protein-coding
DMTN;2039;protein-coding
ADAMTS4;9507;protein-coding
FHIP2B;64760;protein-coding
NDUFS2;4720;protein-coding
SLC5A11;115584;protein-coding
APOA2;336;protein-coding
TOMM40L;84134;protein-coding
MPZ;4359;protein-coding
CCAR2;57805;protein-coding
CACHD1;57685;protein-coding
CDC42SE2;56990;protein-coding
RAPGEF6;51735;protein-coding
EPB41;2035;protein-coding
MIS18A;54069;protein-coding
ALG8;79053;protein-coding
FBXW5;54461;protein-coding
CFAP298;56683;protein-coding
SYNJ1;8867;protein-coding
PAXBP1;94104;protein-coding
IFNAR2;3455;protein-coding
MRPL10;124995;protein-coding
IFNGR2;3460;protein-coding
GART;2618;protein-coding
SON;6651;protein-coding
DONSON;29980;protein-coding
SV2A;9900;protein-coding
LAD1;3898;protein-coding
STC1;6781;protein-coding
TNNI1;7135;protein-coding
CSRP1;1465;protein-coding
HOXB13;10481;protein-coding
ATP5MC1;516;protein-coding
RCAN1;1827;protein-coding
UBE2Z;65264;protein-coding
SNF8;11267;protein-coding
CCDC24;149473;protein-coding
RUNX1;861;protein-coding
IGF2BP1;10642;protein-coding
CBR1;873;protein-coding
CBR3;874;protein-coding
ACTC1;70;protein-coding
MORC3;23515;protein-coding
CHAF1B;8208;protein-coding
HLCS;3141;protein-coding
SCUBE1;80274;protein-coding
ARHGAP27;201176;protein-coding
ADPGK;83440;protein-coding
PTMS;5763;protein-coding
PLA2G4D;283748;protein-coding
PADI4;23569;protein-coding
ADIPOR1;51094;protein-coding
CYB5R1;51706;protein-coding
PSMD4;5710;protein-coding
ATP13A2;23400;protein-coding
M1AP;130951;protein-coding
PSMB4;5692;protein-coding
BTG2;7832;protein-coding
HK2;3099;protein-coding
C1R;715;protein-coding
ALDH4A1;8659;protein-coding
STARD9;57519;protein-coding
THEM4;117145;protein-coding
TCHH;7062;protein-coding
UBR1;197131;protein-coding
AMFR;267;protein-coding
MED8;112950;protein-coding
ISL2;64843;protein-coding
RSPRY1;89970;protein-coding
CCDC17;149483;protein-coding
GPBP1L1;60313;protein-coding
NAE1;8883;protein-coding
TMEM69;51249;protein-coding
ADGRG5;221188;protein-coding
DRC7;84229;protein-coding
ACE;1636;protein-coding
SPMIP8;374739;protein-coding
EFCAB14;9813;protein-coding
SPON2;10417;protein-coding
CHCHD6;84303;protein-coding
CTBP1;1487;protein-coding
TPPP3;51673;protein-coding
ZDHHC1;29800;protein-coding
ATP6V0D1;9114;protein-coding
ZFYVE28;57732;protein-coding
CARMIL2;146206;protein-coding
C16orf86;388284;protein-coding
FAM131B;9715;protein-coding
RGS12;6002;protein-coding
PSKH1;5681;protein-coding
ZYX;7791;protein-coding
ABR;29;protein-coding
LYPD5;284348;protein-coding
CCDC117;150275;protein-coding
ZNF230;7773;protein-coding
CCDC107;203260;protein-coding
ZNF222;7673;protein-coding
NPR2;4882;protein-coding
ZNF221;7638;protein-coding
ZNF233;353355;protein-coding
ZNF235;9310;protein-coding
GNE;10020;protein-coding
TNFRSF13C;115650;protein-coding
OR3A3;8392;protein-coding
ARHGAP35;2909;protein-coding
CALM3;808;protein-coding
DFFA;1676;protein-coding
CCDC28B;79140;protein-coding
IQCC;55721;protein-coding
TMEM234;56063;protein-coding
BSDC1;55108;protein-coding
ZBTB8A;653121;protein-coding
ATAD3B;83858;protein-coding
SSU72;29101;protein-coding
UBE2J2;118424;protein-coding
ZNF362;149076;protein-coding
CPAMD8;27151;protein-coding
NR2F6;2063;protein-coding
ANKLE1;126549;protein-coding
MIX23;131076;protein-coding
VMA21;203547;protein-coding
KALRN;8997;protein-coding
CILP2;148113;protein-coding
ABCG1;9619;protein-coding
SLC37A1;54020;protein-coding
WDR4;10785;protein-coding
NDUFV3;4731;protein-coding
PKNOX1;5316;protein-coding
CBS;875;protein-coding
U2AF1;7307;protein-coding
HSF2BP;11077;protein-coding
RRP1B;23076;protein-coding
PDXK;8566;protein-coding
G6PD;2539;protein-coding
CSTB;1476;protein-coding
RRP1;8568;protein-coding
AGPAT3;56894;protein-coding
TRAPPC10;7109;protein-coding
GATD3;8209;protein-coding
ICOSLG;23308;protein-coding
AIRE;326;protein-coding
CFAP410;755;protein-coding
ZNF66;7617;protein-coding
LRRC3;81543;protein-coding
ITGB2;3689;protein-coding
SLX9;85395;protein-coding
RALGDS;5900;protein-coding
SPATC1L;84221;protein-coding
LSS;4047;protein-coding
VAV2;7410;protein-coding
MCM3AP;8888;protein-coding
C21orf58;54058;protein-coding
PCNT;5116;protein-coding
DIP2A;23181;protein-coding
PRMT2;3275;protein-coding
ZNF208;7757;protein-coding
ADAMTS13;11093;protein-coding
CACFD1;11094;protein-coding
SLC2A6;11182;protein-coding
ZNF761;388561;protein-coding
PIERCE1;138162;protein-coding
ZNF714;148206;protein-coding
GPSM1;26086;protein-coding
C19orf47;126526;protein-coding
HIPK4;147746;protein-coding
CFAP157;286207;protein-coding
TOR2A;27433;protein-coding
ST6GALNAC6;30815;protein-coding
SHKBP1;92799;protein-coding
RDH13;112724;protein-coding
ZER1;10444;protein-coding
ZDHHC12;84885;protein-coding
PKN3;29941;protein-coding
SPTBN4;57731;protein-coding
BRSK1;84446;protein-coding
COX6B2;125965;protein-coding
PLPP7;84814;protein-coding
TAOK1;57551;protein-coding
MED27;9442;protein-coding
DEDD2;162989;protein-coding
SIK3;23387;protein-coding
MPZL3;196264;protein-coding
JAML;120425;protein-coding
NEK8;284086;protein-coding
TLCD1;116238;protein-coding
PCSK7;9159;protein-coding
SAFB;6294;protein-coding
S100A1;6271;protein-coding
CHTOP;26097;protein-coding
ZBTB7B;51043;protein-coding
FLAD1;80308;protein-coding
SHC1;6464;protein-coding
VPS11;55823;protein-coding
NLRX1;79671;protein-coding
ADAR;103;protein-coding
IL6R;3570;protein-coding
UBE2Q1;55585;protein-coding
CRTC2;200186;protein-coding
ANO10;55129;protein-coding
FDPS;2224;protein-coding
RUSC1;23623;protein-coding
ENTREP3;10712;protein-coding
PAQR6;79957;protein-coding
PMF1;11243;protein-coding
SLC25A44;9673;protein-coding
LMNA;4000;protein-coding
CCR5;1234;protein-coding
NBEAL2;23218;protein-coding
CCDC12;151903;protein-coding
UBQLN4;56893;protein-coding
MYL3;4634;protein-coding
PPP1R35;221908;protein-coding
GPATCH4;54865;protein-coding
LRRC71;149499;protein-coding
FGFR4;2264;protein-coding
CYP3A7;1551;protein-coding
NACC1;112939;protein-coding
HK3;3101;protein-coding
LY6K;54742;protein-coding
IER2;9592;protein-coding
ZNF394;84124;protein-coding
CPSF4;10898;protein-coding
LY6E;4061;protein-coding
VPS28;51160;protein-coding
TONSL;4796;protein-coding
PWWP3A;84939;protein-coding
RECQL4;9401;protein-coding
LRRC14;9684;protein-coding
ZNF333;84449;protein-coding
COL26A1;136227;protein-coding
PPP1R16A;84988;protein-coding
ORAI2;80228;protein-coding
ALKBH4;54784;protein-coding
SH2B2;10603;protein-coding
MRNIP;51149;protein-coding
SQSTM1;8878;protein-coding
MGAT4B;11282;protein-coding
RPL8;6132;protein-coding
MAML1;9794;protein-coding
LRWD1;222229;protein-coding
NAPEPLD;222236;protein-coding
PSMC2;5701;protein-coding
CELF5;60680;protein-coding
MFSD12;126321;protein-coding
YDJC;150223;protein-coding
DVL3;1857;protein-coding
AP2M1;1173;protein-coding
ABCF3;55324;protein-coding
PCYT1A;5130;protein-coding
FBXO27;126433;protein-coding
DMKN;93099;protein-coding
U2AF1L4;199746;protein-coding
BDH1;622;protein-coding
THAP8;199745;protein-coding
ZNF382;84911;protein-coding
LRRC56;115399;protein-coding
PLXDC1;57125;protein-coding
PGAP3;93210;protein-coding
IKZF3;22806;protein-coding
GRIN2C;2905;protein-coding
FDXR;2232;protein-coding
SAP30BP;29115;protein-coding
ACOX1;51;protein-coding
PRPSAP1;5635;protein-coding
CYGB;114757;protein-coding
SRSF2;6427;protein-coding
ZNF577;84765;protein-coding
TMEM143;55260;protein-coding
ALDH16A1;126133;protein-coding
ITGA5;3678;protein-coding
ZNF385A;25946;protein-coding
MPP3;4356;protein-coding
NAGS;162417;protein-coding
LSM12;124801;protein-coding
ASB16;92591;protein-coding
EMC10;284361;protein-coding
JOSD2;126119;protein-coding
SHANK1;50944;protein-coding
FAM171A2;284069;protein-coding
DBF4B;80174;protein-coding
PLCD3;113026;protein-coding
FMNL3;91010;protein-coding
RACGAP1;29127;protein-coding
LARP4;113251;protein-coding
TAMALIN;160622;protein-coding
RAVER1;125950;protein-coding
SYCE2;256126;protein-coding
SPC24;147841;protein-coding
LEMD2;221496;protein-coding
ALOX15;246;protein-coding
ZNF653;115950;protein-coding
MED11;400569;protein-coding
CXCL16;58191;protein-coding
TNFSF13;8741;protein-coding
SENP3;26168;protein-coding
FGF11;2256;protein-coding
EIF4A1;1973;protein-coding
RPL26;6154;protein-coding
POLR3K;51728;protein-coding
SNRNP25;79622;protein-coding
WDR90;197335;protein-coding
JMJD8;339123;protein-coding
CCDC78;124093;protein-coding
SPSB3;90864;protein-coding
TEDC2;80178;protein-coding
CCNF;899;protein-coding
TBC1D24;57465;protein-coding
AMDHD2;51005;protein-coding
BICDL2;146439;protein-coding
PAQR4;124222;protein-coding
FLYWCH2;114984;protein-coding
ZG16B;124220;protein-coding
ZNF75A;7627;protein-coding
ADCY9;115;protein-coding
SHANK2;22941;protein-coding
CLPB;81570;protein-coding
NEU3;10825;protein-coding
CYB561A3;220002;protein-coding
SAXO4;220004;protein-coding
ASRGL1;80150;protein-coding
GNG3;2785;protein-coding
UBXN1;51035;protein-coding
LBHD1;79081;protein-coding
TTC9C;283237;protein-coding
TAF6L;10629;protein-coding
NXF1;10482;protein-coding
STX5;6811;protein-coding
SLC25A45;283130;protein-coding
RPL29;6159;protein-coding
SYVN1;84447;protein-coding
ZFPL1;7542;protein-coding
RPS6KA4;8986;protein-coding
LRP5;4041;protein-coding
TPCN2;219931;protein-coding
CMPK1;51727;protein-coding
COA7;65260;protein-coding
ZYG11B;79699;protein-coding
CZIB;54987;protein-coding
MAGOH;4116;protein-coding
ACOT11;26027;protein-coding
FAM151A;338094;protein-coding
PARS2;25973;protein-coding
USP24;23358;protein-coding
PLPP3;8613;protein-coding
NOL9;79707;protein-coding
PRKAA2;5563;protein-coding
KLHL21;9903;protein-coding
ZSWIM5;57643;protein-coding
GMEB1;10691;protein-coding
SLC45A1;50651;protein-coding
SELENON;57190;protein-coding
AK4;205;protein-coding
JAK1;3716;protein-coding
RAVER2;55225;protein-coding
LZIC;84328;protein-coding
RBP7;116362;protein-coding
FBLIM1;54751;protein-coding
SLC25A34;284723;protein-coding
AKR7A3;22977;protein-coding
PDPN;10630;protein-coding
DHRS3;9249;protein-coding
LAPTM5;7805;protein-coding
SDC3;9672;protein-coding
PEF1;553115;protein-coding
SYNC;81493;protein-coding
RBBP4;5928;protein-coding
NHSL3;57648;protein-coding
TSSK3;81629;protein-coding
TMCO4;255104;protein-coding
UBXN10;127733;protein-coding
CAMK2N1;55450;protein-coding
ALPL;249;protein-coding
WNT4;54361;protein-coding
SCNN1D;6339;protein-coding
MXRA8;54587;protein-coding
FAAP20;199990;protein-coding
MEGF6;1953;protein-coding
CCDC27;148870;protein-coding
DIRAS3;9077;protein-coding
NFIA;4774;protein-coding
OMA1;115209;protein-coding
MYSM1;114803;protein-coding
TM2D1;83941;protein-coding
USP1;7398;protein-coding
FUBP1;8880;protein-coding
NEXN;91624;protein-coding
DNAJB4;11080;protein-coding
ADGRL4;64123;protein-coding
LRRIQ3;127255;protein-coding
TYW3;127253;protein-coding
SNX7;51375;protein-coding
NTNG1;22854;protein-coding
EEIG2;284611;protein-coding
HENMT1;113802;protein-coding
AKNAD1;254268;protein-coding
C1orf52;148423;protein-coding
DNAI3;126820;protein-coding
GBP2;2634;protein-coding
ATXN7L2;127002;protein-coding
GBP4;115361;protein-coding
ZNF326;284695;protein-coding
GFI1;2672;protein-coding
AGL;178;protein-coding
VCAM1;7412;protein-coding
EXTL2;2135;protein-coding
SLC30A7;148867;protein-coding
ZNF281;23528;protein-coding
ARPC5;10092;protein-coding
NLRP3;114548;protein-coding
ZNF496;84838;protein-coding
TRIM58;25893;protein-coding
SLAMF9;89886;protein-coding
IGSF8;93185;protein-coding
DDR2;4921;protein-coding
PEA15;8682;protein-coding
PEX19;5824;protein-coding
NCSTN;23385;protein-coding
VANGL2;57216;protein-coding
OLFML2B;25903;protein-coding
FCRLB;127943;protein-coding
KLHDC9;126823;protein-coding
C1orf74;148304;protein-coding
FLVCR1;28982;protein-coding
ATF3;467;protein-coding
RBM15;64783;protein-coding
DENND2D;79961;protein-coding
AXDND1;126859;protein-coding
TDRD5;163589;protein-coding
IER5;51278;protein-coding
SNED1;25992;protein-coding
BPNT1;10380;protein-coding
SPATA17;128153;protein-coding
C1orf115;79762;protein-coding
BROX;148362;protein-coding
NBPF20;100288142;protein-coding
ACP6;51205;protein-coding
WDR64;128025;protein-coding
KIF26B;55083;protein-coding
TFB2M;64216;protein-coding
CNST;163882;protein-coding
PPP1R21;129285;protein-coding
PKDCC;91461;protein-coding
B3GALNT2;148789;protein-coding
MAPKAPK2;9261;protein-coding
IL24;11009;protein-coding
FCMR;9214;protein-coding
CAPN2;824;protein-coding
MRPL55;128308;protein-coding
WDR26;80232;protein-coding
REL;5966;protein-coding
PUS10;150962;protein-coding
PEX13;5194;protein-coding
SANBR;84542;protein-coding
RFTN2;130132;protein-coding
DISC1;27185;protein-coding
LRRTM1;347730;protein-coding
MEMO1;51072;protein-coding
DPY30;84661;protein-coding
TYW5;129450;protein-coding
MAIP1;79568;protein-coding
SLC66A3;130814;protein-coding
ARL5A;26225;protein-coding
LRATD1;151354;protein-coding
CLHC1;130162;protein-coding
DUSP19;142679;protein-coding
CFAP36;112942;protein-coding
NUP35;129401;protein-coding
CCDC138;165055;protein-coding
FBXO41;150726;protein-coding
ACTG2;72;protein-coding
WDCP;80304;protein-coding
SMC6;79677;protein-coding
CCDC74A;90557;protein-coding
H3-3A;3020;protein-coding
COQ8A;56997;protein-coding
SGCB;6443;protein-coding
SPATA18;132671;protein-coding
NOSTRIN;115677;protein-coding
SGPP2;130367;protein-coding
INHBB;3625;protein-coding
XIRP2;129446;protein-coding
BBS5;129880;protein-coding
SMARCAD1;56916;protein-coding
PDLIM5;10611;protein-coding
NEURL3;93082;protein-coding
RPRD2;23248;protein-coding
ANKRD23;200539;protein-coding
CTSS;1520;protein-coding
MSX1;4487;protein-coding
PACRGL;133015;protein-coding
BNIPL;149428;protein-coding
TNFAIP8L2;79626;protein-coding
LYSMD1;388695;protein-coding
SCNM1;79005;protein-coding
VPS72;6944;protein-coding
ERCC3;2071;protein-coding
RNF149;284996;protein-coding
IWS1;55677;protein-coding
BOLA3;388962;protein-coding
CDC42EP3;10602;protein-coding
S100A11;6282;protein-coding
IVL;3713;protein-coding
SPRR3;6707;protein-coding
DHX57;90957;protein-coding
SPRR2D;6703;protein-coding
PGLYRP4;57115;protein-coding
ARHGAP25;9938;protein-coding
S100A9;6280;protein-coding
TGFA;7039;protein-coding
CCNYL1;151195;protein-coding
FZD5;7855;protein-coding
CRYGC;1420;protein-coding
DCAF16;54876;protein-coding
GNPDA2;132789;protein-coding
ALPP;250;protein-coding
ALPG;251;protein-coding
PAQR3;152559;protein-coding
NIPAL1;152519;protein-coding
ANTXR2;118429;protein-coding
HELQ;113510;protein-coding
MRPS18C;51023;protein-coding
CGGBP1;8545;protein-coding
ABRAXAS1;84142;protein-coding
GPR155;151556;protein-coding
PMVK;10654;protein-coding
PBXIP1;57326;protein-coding
CLDN1;9076;protein-coding
PYGO2;90780;protein-coding
HIPK1;204851;protein-coding
DCST2;127579;protein-coding
COL6A3;1293;protein-coding
INAVA;55765;protein-coding
YY1AP1;55249;protein-coding
KBTBD8;84541;protein-coding
EOGT;285203;protein-coding
NAXE;128240;protein-coding
POGLUT1;56983;protein-coding
SLC22A15;55356;protein-coding
IGFN1;91156;protein-coding
ATP1A1;476;protein-coding
SLC15A2;6565;protein-coding
EIF4E3;317649;protein-coding
LRRC58;116064;protein-coding
FSTL1;11167;protein-coding
LMOD1;25802;protein-coding
ELF3;1999;protein-coding
PDCL2;132954;protein-coding
TMEM183A;92703;protein-coding
TMEM169;92691;protein-coding
IGFBP7;3490;protein-coding
TRIM46;80128;protein-coding
KRTCAP2;200185;protein-coding
ARPC2;10109;protein-coding
TSACC;128229;protein-coding
CCT3;7203;protein-coding
TMEM79;84283;protein-coding
SSR2;6746;protein-coding
RNF25;64320;protein-coding
STK36;27148;protein-coding
ADORA1;134;protein-coding
NEK10;152110;protein-coding
CCDC141;285025;protein-coding
CRYBA2;1412;protein-coding
CIP2A;57650;protein-coding
CWC22;57703;protein-coding
AZI2;64343;protein-coding
TGFBR2;7048;protein-coding
ANKZF1;55139;protein-coding
HDAC11;79885;protein-coding
FBLN2;2199;protein-coding
GLB1L;79411;protein-coding
STT3B;201595;protein-coding
CHCHD4;131474;protein-coding
DPPA2;151871;protein-coding
NFASC;23114;protein-coding
SGO2;151246;protein-coding
SERPINI1;5274;protein-coding
CLASP2;23122;protein-coding
SUCLG1;8802;protein-coding
NUAK2;81788;protein-coding
PRKCI;5584;protein-coding
IFI16;3428;protein-coding
AIM2;9447;protein-coding
EFHB;151651;protein-coding
EIF5A2;56648;protein-coding
RPL22L1;200916;protein-coding
PPM1L;151742;protein-coding
ICA1L;130026;protein-coding
RYBP;23429;protein-coding
PPP4R2;151987;protein-coding
CD200R1;131450;protein-coding
GTPBP8;29083;protein-coding
NEPRO;25871;protein-coding
SPICE1;152185;protein-coding
CCDC191;57577;protein-coding
NKX6-1;4825;protein-coding
CDS1;1040;protein-coding
WDFY3;23001;protein-coding
COX18;285521;protein-coding
PTPN13;5783;protein-coding
C4orf36;132989;protein-coding
THOC7;80145;protein-coding
ATXN7;6314;protein-coding
PSMD6;9861;protein-coding
PRICKLE2;166336;protein-coding
ADAMTS9;56999;protein-coding
PPM1K;152926;protein-coding
GMPS;8833;protein-coding
TIPARP;25976;protein-coding
CCNL1;57018;protein-coding
PTX3;5806;protein-coding
HESX1;8820;protein-coding
SLMAP;7871;protein-coding
RPL9;6133;protein-coding
SMIM14;201895;protein-coding
RPP14;11102;protein-coding
ABHD6;57406;protein-coding
DNASE1L3;1776;protein-coding
CFAP20DC;200844;protein-coding
RBM47;54502;protein-coding
APBB2;323;protein-coding
IL17RE;132014;protein-coding
IL17RC;84818;protein-coding
CRELD1;78987;protein-coding
PRRT3;285368;protein-coding
PCOLCE2;26577;protein-coding
U2SURP;23350;protein-coding
MTMR14;64419;protein-coding
TTC14;151613;protein-coding
CXCL3;2921;protein-coding
CXCL5;6374;protein-coding
MTHFD2L;441024;protein-coding
CXCL1;2919;protein-coding
RCHY1;25898;protein-coding
GYG1;2992;protein-coding
HPS3;84343;protein-coding
TOPBP1;11073;protein-coding
RYK;6259;protein-coding
SNRK;54861;protein-coding
UCN;7349;protein-coding
ZNF513;130557;protein-coding
SLC4A1AP;22950;protein-coding
PLB1;151056;protein-coding
KIAA1143;57456;protein-coding
KIF15;56992;protein-coding
TGM4;7047;protein-coding
WDR43;23160;protein-coding
ZDHHC3;51304;protein-coding
CDCP1;64866;protein-coding
SLC6A20;54716;protein-coding
LZTFL1;54585;protein-coding
FYCO1;79443;protein-coding
CCR1;1230;protein-coding
RTP3;83597;protein-coding
LRRC2;79442;protein-coding
ELP6;54859;protein-coding
DTX3L;151636;protein-coding
ZNF148;7707;protein-coding
SMIM12;113444;protein-coding
ZMYM6;9204;protein-coding
TPRA1;131601;protein-coding
YEATS2;55689;protein-coding
ZC3H12A;80149;protein-coding
MEAF6;64769;protein-coding
SNIP1;79753;protein-coding
DNALI1;7802;protein-coding
POLR2H;5437;protein-coding
KLF15;28999;protein-coding
CAMK2N2;94032;protein-coding
LIPH;200879;protein-coding
TMEM41A;90407;protein-coding
RPN1;6184;protein-coding
SENP2;59343;protein-coding
HEYL;26508;protein-coding
IFT122;55764;protein-coding
RFC4;5984;protein-coding
RPL39L;116832;protein-coding
BAP1;8314;protein-coding
TKT;7086;protein-coding
PRKCD;5580;protein-coding
RFT1;91869;protein-coding
SFMBT1;51460;protein-coding
GNL3;26354;protein-coding
PBRM1;55193;protein-coding
UVSSA;57654;protein-coding
TASOR;23272;protein-coding
ARHGEF3;50650;protein-coding
SLBP;7884;protein-coding
LRPAP1;4043;protein-coding
SLC51A;200931;protein-coding
UBXN7;26043;protein-coding
RNF168;165918;protein-coding
PIGX;54965;protein-coding
MELTF;4241;protein-coding
S100P;6286;protein-coding
EXO5;64789;protein-coding
CLDN19;149461;protein-coding
C1orf50;79078;protein-coding
ERMAP;114625;protein-coding
ZNF691;51058;protein-coding
AIMP1;9255;protein-coding
SGMS2;166929;protein-coding
METAP1;23173;protein-coding
DNAJB14;79982;protein-coding
H2AZ1;3015;protein-coding
SLC9B2;133308;protein-coding
BDH2;56898;protein-coding
PGRMC2;10424;protein-coding
CDC25A;993;protein-coding
ZNF589;51385;protein-coding
FBXW12;285231;protein-coding
PLXNB1;5364;protein-coding
CCDC51;79714;protein-coding
ATRIP;84126;protein-coding
SHISA5;51246;protein-coding
SPRY1;10252;protein-coding
BSN;8927;protein-coding
APEH;327;protein-coding
INTU;27152;protein-coding
RNF123;63891;protein-coding
HSPA4L;22824;protein-coding
MFSD8;256471;protein-coding
ABHD18;80167;protein-coding
CAMKV;79012;protein-coding
MON1A;84315;protein-coding
MST1R;4486;protein-coding
RAD54L2;23132;protein-coding
TEX264;51368;protein-coding
GRM2;2912;protein-coding
DUSP7;1849;protein-coding
POC1A;25886;protein-coding
PPM1M;132160;protein-coding
WDR82;80335;protein-coding
PITX2;5308;protein-coding
C4orf3;401152;protein-coding
PRSS12;8492;protein-coding
HMGB2;3148;protein-coding
SAP30;8819;protein-coding
MAD2L1;4085;protein-coding
ANXA5;308;protein-coding
MAP9;79884;protein-coding
FBXO8;26269;protein-coding
CEP44;80817;protein-coding
HPGD;3248;protein-coding
TMEM144;55314;protein-coding
GASK1B;51313;protein-coding
NAA15;80155;protein-coding
IL15;3600;protein-coding
FHIP1A;729830;protein-coding
ARFIP1;27236;protein-coding
ICE1;23379;protein-coding
ANAPC10;10393;protein-coding
ABCE1;6059;protein-coding
